start_time,stop_time,cluster
2007-01-01 00:20:13.987700,2007-01-01 00:20:18.012700,1
2007-01-01 00:28:27.387700,2007-01-01 00:28:29.612700,1
2007-01-01 00:41:38.412700,2007-01-01 00:41:40.787700,1
2007-01-01 00:42:21.437700,2007-01-01 00:42:23.737700,1
2007-01-01 00:45:51.337700,2007-01-01 00:45:54.587700,1
2007-01-01 01:19:55.562700,2007-01-01 01:19:57.812700,1
2007-01-01 02:05:56.012700,2007-01-01 02:05:58.312700,1
2007-01-01 02:33:54.587700,2007-01-01 02:33:58.187700,1
2007-01-01 02:44:17.937700,2007-01-01 02:44:20.987700,1
2007-01-01 02:50:31.237700,2007-01-01 02:50:35.112700,1
2007-01-01 02:55:02.862700,2007-01-01 02:55:04.887700,1
2007-01-01 03:43:55.587700,2007-01-01 03:43:57.762700,1
2007-01-01 03:53:07.512700,2007-01-01 03:53:09.537700,1
2007-01-01 04:02:49.562700,2007-01-01 04:02:52.162700,1
2007-01-01 04:34:29.912700,2007-01-01 04:34:33.612700,1
2007-01-01 04:42:15.187700,2007-01-01 04:42:17.337700,1
2007-01-01 05:06:30.737700,2007-01-01 05:06:32.987700,1
2007-01-01 05:21:38.537700,2007-01-01 05:21:41.287700,1
2007-01-01 05:35:42.612700,2007-01-01 05:35:45.087700,1
2007-01-01 06:00:43.312700,2007-01-01 06:00:47.362700,1
2007-01-01 06:15:22.462700,2007-01-01 06:15:26.362700,1
2007-01-01 06:20:02.812700,2007-01-01 06:20:04.962700,1
2007-01-01 06:23:40.762700,2007-01-01 06:23:43.912700,1
2007-01-01 06:28:05.212700,2007-01-01 06:28:06.862700,1
2007-01-01 07:15:42.437700,2007-01-01 07:15:45.562700,1
2007-01-01 08:05:56.362700,2007-01-01 08:05:58.837700,1
2007-01-01 08:35:56.312700,2007-01-01 08:35:58.487700,1
2007-01-01 08:54:36.612700,2007-01-01 08:54:39.087700,1
2007-01-01 09:08:52.087700,2007-01-01 09:08:55.137700,1
2007-01-01 09:31:45.187700,2007-01-01 09:31:47.812700,1
2007-01-01 09:36:56.487700,2007-01-01 09:36:59.462700,1
2007-01-01 09:48:17.087700,2007-01-01 09:48:19.162700,1
2007-01-01 09:49:16.637700,2007-01-01 09:49:19.137700,1
2007-01-01 10:53:08.037700,2007-01-01 10:53:10.112700,1
2007-01-01 10:55:34.287700,2007-01-01 10:55:36.387700,1
2007-01-01 11:13:27.362700,2007-01-01 11:13:30.537700,1
2007-01-01 11:15:07.812700,2007-01-01 11:15:10.987700,1
2007-01-01 11:15:51.287700,2007-01-01 11:15:53.562700,1
2007-01-01 11:54:32.712700,2007-01-01 11:54:35.487700,1
2007-01-01 11:59:31.312700,2007-01-01 11:59:34.187700,1
2007-01-01 12:20:57.837700,2007-01-01 12:21:01.262700,1
2007-01-01 12:30:57.587700,2007-01-01 12:31:00.412700,1
2007-01-01 13:05:16.312700,2007-01-01 13:05:18.687700,1
2007-01-01 13:17:18.462700,2007-01-01 13:17:20.987700,1
2007-01-01 13:19:53.537700,2007-01-01 13:19:56.912700,1
2007-01-01 13:20:31.937700,2007-01-01 13:20:34.437700,1
2007-01-01 13:22:29.587700,2007-01-01 13:22:32.162700,1
2007-01-01 13:25:25.987700,2007-01-01 13:25:28.687700,1
2007-01-01 13:27:45.137700,2007-01-01 13:27:49.287700,1
2007-01-01 13:47:05.612700,2007-01-01 13:47:09.737700,1
2007-01-01 13:47:05.637700,2007-01-01 13:47:09.887700,1
2007-01-01 13:53:05.387700,2007-01-01 13:53:08.537700,1
2007-01-01 14:00:56.287700,2007-01-01 14:00:58.912700,1
2007-01-01 14:35:24.512700,2007-01-01 14:35:27.187700,1
2007-01-01 14:39:28.762700,2007-01-01 14:39:30.662700,1
2007-01-01 14:40:05.037700,2007-01-01 14:40:09.612700,1
2007-01-01 14:44:21.337700,2007-01-01 14:44:23.212700,1
2007-01-01 15:12:21.087700,2007-01-01 15:12:23.787700,1
2007-01-01 16:10:02.012700,2007-01-01 16:10:04.012700,1
2007-01-01 16:16:17.862700,2007-01-01 16:16:21.312700,1
2007-01-01 16:43:01.437700,2007-01-01 16:43:03.187700,1
2007-01-01 17:52:37.337700,2007-01-01 17:52:40.837700,1
2007-01-01 18:07:11.537700,2007-01-01 18:07:13.637700,1
2007-01-01 18:27:26.887700,2007-01-01 18:27:29.262700,1
2007-01-01 19:05:35.587700,2007-01-01 19:05:38.012700,1
2007-01-01 19:13:05.562700,2007-01-01 19:13:08.362700,1
2007-01-01 20:25:38.837700,2007-01-01 20:25:40.887700,1
2007-01-01 20:27:37.862700,2007-01-01 20:27:40.687700,1
2007-01-01 20:34:58.937700,2007-01-01 20:35:01.212700,1
2007-01-01 20:53:29.287700,2007-01-01 20:53:32.337700,1
2007-01-01 21:00:09.512700,2007-01-01 21:00:12.862700,1
2007-01-01 21:05:06.837700,2007-01-01 21:05:09.362700,1
2007-01-01 21:19:12.987700,2007-01-01 21:19:16.887700,1
2007-01-01 21:22:41.062700,2007-01-01 21:22:43.187700,1
2007-01-01 21:43:22.887700,2007-01-01 21:43:26.262700,1
2007-01-01 21:45:46.437700,2007-01-01 21:45:48.812700,1
2007-01-01 21:47:19.087700,2007-01-01 21:47:21.712700,1
2007-01-01 22:02:38.137700,2007-01-01 22:02:41.137700,1
2007-01-01 22:12:42.737700,2007-01-01 22:12:44.862700,1
2007-01-01 22:18:47.162700,2007-01-01 22:18:49.137700,1
2007-01-01 22:23:43.987700,2007-01-01 22:23:48.862700,1
2007-01-01 22:35:18.612700,2007-01-01 22:35:20.912700,1
2007-01-01 22:40:57.762700,2007-01-01 22:41:01.462700,1
2007-01-01 22:47:31.737700,2007-01-01 22:47:34.337700,1
2007-01-01 23:28:23.537700,2007-01-01 23:28:25.462700,1
2007-01-01 23:36:31.112700,2007-01-01 23:36:35.012700,1
2007-01-02 01:03:44.987700,2007-01-02 01:03:47.412700,1
2007-01-02 01:08:55.037700,2007-01-02 01:08:58.412700,1
2007-01-02 01:21:16.712700,2007-01-02 01:21:19.087700,1
2007-01-02 01:33:09.237700,2007-01-02 01:33:12.262700,1
2007-01-02 01:36:07.337700,2007-01-02 01:36:09.437700,1
2007-01-02 01:36:38.912700,2007-01-02 01:36:41.437700,1
2007-01-02 01:41:03.937700,2007-01-02 01:41:05.162700,1
2007-01-02 01:43:29.462700,2007-01-02 01:43:31.212700,1
2007-01-02 02:29:02.587700,2007-01-02 02:29:05.937700,1
2007-01-02 02:49:36.087700,2007-01-02 02:49:38.837700,1
2007-01-02 03:38:03.012700,2007-01-02 03:38:05.112700,1
2007-01-02 04:19:46.637700,2007-01-02 04:19:48.737700,1
2007-01-02 04:44:06.412700,2007-01-02 04:44:08.512700,1
2007-01-02 05:22:29.387700,2007-01-02 05:22:31.937700,1
2007-01-02 06:02:18.787700,2007-01-02 06:02:21.387700,1
2007-01-02 06:06:26.412700,2007-01-02 06:06:28.937700,1
2007-01-02 07:09:56.587700,2007-01-02 07:09:58.712700,1
2007-01-02 07:13:29.887700,2007-01-02 07:13:32.437700,1
2007-01-02 07:22:09.437700,2007-01-02 07:22:11.387700,1
2007-01-02 07:42:44.812700,2007-01-02 07:42:47.012700,1
2007-01-02 07:44:44.387700,2007-01-02 07:44:46.337700,1
2007-01-02 07:47:12.912700,2007-01-02 07:47:15.212700,1
2007-01-02 08:00:40.862700,2007-01-02 08:00:42.887700,1
2007-01-02 08:00:51.437700,2007-01-02 08:00:53.462700,1
2007-01-02 08:15:04.612700,2007-01-02 08:15:06.537700,1
2007-01-02 08:24:31.712700,2007-01-02 08:24:33.862700,1
2007-01-02 09:39:36.662700,2007-01-02 09:39:40.087700,1
2007-01-02 09:41:51.387700,2007-01-02 09:41:53.937700,1
2007-01-02 10:10:51.987700,2007-01-02 10:10:55.487700,1
2007-01-02 10:32:05.512700,2007-01-02 10:32:10.662700,1
2007-01-02 11:25:48.412700,2007-01-02 11:25:51.887700,1
2007-01-02 11:41:41.662700,2007-01-02 11:41:44.762700,1
2007-01-02 12:21:30.437700,2007-01-02 12:21:32.837700,1
2007-01-02 13:07:52.487700,2007-01-02 13:07:55.762700,1
2007-01-02 13:44:21.887700,2007-01-02 13:44:24.412700,1
2007-01-02 13:46:10.437700,2007-01-02 13:46:13.462700,1
2007-01-02 14:15:44.737700,2007-01-02 14:15:48.537700,1
2007-01-02 14:30:18.862700,2007-01-02 14:30:22.187700,1
2007-01-02 15:03:13.187700,2007-01-02 15:03:18.062700,1
2007-01-02 15:15:52.362700,2007-01-02 15:15:54.712700,1
2007-01-02 16:06:14.787700,2007-01-02 16:06:17.062700,1
2007-01-02 16:19:33.862700,2007-01-02 16:19:37.062700,1
2007-01-02 16:19:41.412700,2007-01-02 16:19:43.862700,1
2007-01-02 16:23:53.037700,2007-01-02 16:23:56.162700,1
2007-01-02 16:47:44.812700,2007-01-02 16:47:46.887700,1
2007-01-02 16:51:44.612700,2007-01-02 16:51:46.787700,1
2007-01-02 16:53:58.462700,2007-01-02 16:54:01.712700,1
2007-01-02 17:10:15.287700,2007-01-02 17:10:17.812700,1
2007-01-02 17:30:51.362700,2007-01-02 17:30:53.312700,1
2007-01-02 17:52:35.962700,2007-01-02 17:52:38.412700,1
2007-01-02 18:19:43.037700,2007-01-02 18:19:46.787700,1
2007-01-02 18:34:47.562700,2007-01-02 18:34:49.937700,1
2007-01-02 18:45:28.787700,2007-01-02 18:45:31.287700,1
2007-01-02 18:46:42.612700,2007-01-02 18:46:44.712700,1
