coincidence_sum,duration,similarity,stations,time,trace_ids
3.0,2.7250001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:00:32.212700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,2.0,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:01:28.312700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,1.7249999046325684,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:02:42.437700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,2.0250003337860107,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:04:14.512700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,1.9000000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:04:23.812700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,5.0,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:05:03.362700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
3.0,1.5249998569488525,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:05:14.987700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,2.5249998569488525,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:05:29.962700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHN', u'AU.MAW..BHZ']"
3.0,1.8500001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:08:08.687700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHN', u'AU.MAW..BHE']"
3.0,1.5249998569488525,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:09:13.537700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,2.1999998092651367,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:10:49.037700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHZ', u'AU.MAW..BHE']"
3.0,1.8500001430511475,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:11:26.087700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,2.2750000953674316,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:12:27.287700Z,"[u'AU.MAW..BHZ', u'AU.MAW..BHE', u'AU.MAW..BHN']"
3.0,1.875000238418579,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:12:32.012700Z,"[u'AU.MAW..BHN', u'AU.MAW..BHE', u'AU.MAW..BHZ']"
3.0,2.325000286102295,{},"[u'MAW', u'MAW', u'MAW']",2007-01-01T00:12:55.312700Z,"[u'AU.MAW..BHE', u'AU.MAW..BHZ', u'AU.MAW..BHN']"
